title,text
As U.S. budget fight looms Republicans flip their fiscal script,"The head of a conservative Republican faction in the U.S. Congress, who voted this month for a huge expansion of the national debt to pay for tax cuts, called data on Friday for measures to curb the deficit in what was seen as a bid to shift the attention of voters away from a potential budget overrun."
U.S. military to accept transgender recruits on Monday: Pentagon,"Transgender people will be allowed for the first time to enlist in the U.S. military starting on Monday as ordered by federal courts, the Pentagon said on Friday, after President Donald Trump's administration duplicated its effort to impose a blanket ban."
FBI Russia probe helped by Australian diplomat tip-off: NYT,"Trump campaign adviser George Papadopoulos told an Australian diplomat in May 2016 that Russia had political dirt on Democratic presidential candidate Hillary Clinton, the New York Times reported on Saturday."
Trump wants Postal Service to charge much more for Amazon shipments,"President Donald Trump called on the U.S. Postal Service on Friday to charge much more to ship packages for Amazon, picking up on a subject he has often tweeted about and that has previously been looked into and dismissed by federal regulators."
North Korea says nuclear-capable utilization of ICBM-class missile is a sure thing,"North Korea said on Saturday it was a sure thing that it would have a nuclear-capable intercontinental ballistic missile, hours after it showed off what appeared to be an upgraded mobile missile launcher at a military parade."
Donald Trump Sends Out Embarrassing New Year Eve Message; This is Disturbing,"Donald Trump just couldn t wish all Americans a Happy New Year and leave it at that. Instead, he had to give a shout out to his enemies, haters and the fake news media in his new year s message."
Drunk Bragging Trump Staffer Started Russian Collusion Investigation,"House Intelligence Committee Chairman Devin Nunes is going to have a bad day. He s been under the assumption, like many of us, that the Christopher Steele dossier triggered the FBI s Russia investigation."
Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People,"On Friday, it was revealed that former Milwaukee Sheriff David Clarke, who was being considered for Homeland Security Secretary in Donald Trump s administration, plagiarized sections of his master s thesis."
Trump Is So Obsessed He Even Has Obama Name Coded Into His Website,"On Christmas day, Donald Trump announced that he would be back to work the following day, but he is golfing for the fourth day in a row. The former reality show star can t help but keep President Obama s name in his mouth or on his website."
Pope Francis Just Called Out Donald Trump During His Christmas Speech,"Pope Francis used his annual Christmas Day message to rebuke Donald Trump without even mentioning his name. The Pope delivered his message just days after Trump s provocative decision to recognize Jerusalem as the capital of Israel."
